INDEX, G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20
Sample 1,147.6,148.0,148.7,148.6,149.3,149.8,150.3,151.0,150.7,151.4,150.85,152.0,154.4,157.95,157.85,160.25,160.25,160.6,160.55,160.4
Sample 2,148.9,148.7,149.4,149.25,149.7,149.95,150.75,150.8,151.0,151.7,151.5,152.4,154.8,158.6,158.7,160.9,160.6,161.0,160.55,160.9
Sample 3,151.35,151.65,151.55,151.6,152.1,152.9,153.4,153.8,154.8,154.6,155.1,155.4,157.85,161.35,161.3,164.55,163.6,164.7,163.7,163.8
Sample 4,152.4,152.8,153.2,153.35,153.85,155.4,154.8,155.75,155.1,156.7,155.55,156.7,157.4,161.35,162.4,164.0,164.95,164.95,163.85,164.15
Sample 5,153.4,152.6,153.1,153.2,153.6,154.2,154.8,155.9,155.1,155.65,156.6,156.5,158.8,162.2,162.25,164.6,164.6,164.55,164.6,164.7
Sample 6,154.7,153.8,154.6,154.8,155.4,156.2,156.8,157.1,157.2,157.9,157.7,160.6,162.6,164.9,166.5,168.65,167.4,168.85,167.45,167.5
Sample 7,160.9,159.4,161.2,160.0,160.3,160.7,163.2,162.9,161.2,163.8,161.55,164.7,165.0,170.2,168.6,170.8,172.5,170.8,170.8,172.55
Sample 8,161.1,163.4,161.8,164.0,162.0,165.1,163.6,165.8,163.7,164.4,166.0,165.1,167.5,173.1,171.0,173.4,173.4,173.7,175.5,173.4
Sample 9,160.9,161.25,163.6,163.6,163.95,162.7,162.65,165.7,163.45,165.9,163.9,166.9,167.1,172.7,172.5,173.1,175.3,173.1,175.1,173.0
Sample 10,158.4,158.8,159.3,159.2,159.8,160.4,160.9,161.1,161.2,161.85,161.1,160.35,163.65,167.8,167.8,170.45,171.4,171.5,171.5,171.7
